Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-15 17:23:06,2019-07-15 17:30:16,7m - 9.828s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-15 17:23:06,2019-07-15 17:23:34,28.119s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-15 17:23:07,2019-07-15 17:23:29,22.142s,PASSED
delay(5),,delay of 5 seconds,,2019-07-15 17:23:29,2019-07-15 17:23:34,5.075s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-15 17:23:34,2019-07-15 17:30:16,6m - 41.292s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-15 17:23:35,2019-07-15 17:23:40,5.412s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-15 17:23:40,2019-07-15 17:23:43,3.164s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-15 17:23:43,2019-07-15 17:23:45,1.434s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-15 17:23:45,2019-07-15 17:23:46,1.435s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-15 17:23:46,2019-07-15 17:30:16,6m - 29.453s,PASSED
