Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandiser With Chiller Level Overwrite Scenarios,,,2019-04-08 18:48:19,2019-04-08 19:12:57,24m - 38.199s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-08 18:48:19,2019-04-08 18:48:45,25.731s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_030419_local_v154.apk"", false)",,launch application,2019-04-08 18:48:21,2019-04-08 18:48:40,19.426s,PASSED
delay(5),,delay of 5 seconds,2019-04-08 18:48:40,2019-04-08 18:48:45,5.057s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChillerLevelOverwriteScenarios,,,2019-04-08 18:48:45,2019-04-08 19:12:57,24m - 11.897s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-08 18:48:46,2019-04-08 18:48:51,5.086s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-08 18:48:51,2019-04-08 18:48:54,3.746s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-04-08 18:48:54,2019-04-08 18:48:55,0.643s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-04-08 18:48:55,2019-04-08 18:48:58,2.581s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_ChillerLevel_OverwriteScenarios(),,,2019-04-08 18:48:58,2019-04-08 19:12:57,23m - 59.387s,PASSED
