Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Shop Level Overwrite Scenarios,,,2018-08-10 19:04:31,2018-08-10 19:06:32,2m - 1.549s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-08-10 19:04:31,2018-08-10 19:04:54,22.295s,PASSED
startApplication,,launch application,2018-08-10 19:04:32,2018-08-10 19:04:49,16.800s,PASSED
delay,,delay of 5 seconds,2018-08-10 19:04:49,2018-08-10 19:04:54,5.042s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithShopLevelOverwriting,,,2018-08-10 19:04:54,2018-08-10 19:06:32,1m - 38.542s,PASSED
verifyElementText,,validate the dashboard screen appearance,2018-08-10 19:04:54,2018-08-10 19:05:02,7.679s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-08-10 19:05:02,2018-08-10 19:05:06,4.098s,PASSED
tap,,tap on start your day button to further proceed,2018-08-10 19:05:06,2018-08-10 19:05:07,1.550s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-08-10 19:05:07,2018-08-10 19:05:09,1.669s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWithShopLevelOverwriting,,"select shops from shops list with ""Shop Level"" overwriting ",2018-08-10 19:05:09,2018-08-10 19:06:32,1m - 23.162s,PASSED
