Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-12 18:27:27,2019-07-12 18:30:58,3m - 31.416s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-12 18:27:27,2019-07-12 18:27:54,26.669s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-12 18:27:28,2019-07-12 18:27:49,20.386s,PASSED
delay(5),,delay of 5 seconds,,2019-07-12 18:27:49,2019-07-12 18:27:54,5.070s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-12 18:27:54,2019-07-12 18:30:58,3m - 4.088s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-12 18:27:54,2019-07-12 18:27:59,4.308s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-12 18:27:59,2019-07-12 18:28:03,4.321s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-12 18:28:03,2019-07-12 18:28:04,1.168s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-12 18:28:04,2019-07-12 18:28:06,2.337s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-12 18:28:06,2019-07-12 18:30:58,2m - 51.443s,ERROR
