Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandiser With Chiller Level Overwrite Scenarios,,,2019-04-08 16:22:17,2019-04-08 16:46:52,24m - 34.599s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-08 16:22:18,2019-04-08 16:22:45,27.092s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_030419_local_v154.apk"", false)",,launch application,2019-04-08 16:22:19,2019-04-08 16:22:40,20.849s,PASSED
delay(5),,delay of 5 seconds,2019-04-08 16:22:40,2019-04-08 16:22:45,5.041s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChillerLevelOverwriteScenarios,,,2019-04-08 16:22:45,2019-04-08 16:46:52,24m - 6.927s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-08 16:22:46,2019-04-08 16:22:50,4.218s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-08 16:22:50,2019-04-08 16:22:54,4.020s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-04-08 16:22:54,2019-04-08 16:22:55,1.502s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-04-08 16:22:55,2019-04-08 16:22:58,2.479s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_ChillerLevel_OverwriteScenarios(),,,2019-04-08 16:22:58,2019-04-08 16:46:52,23m - 54.271s,PASSED
