Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising Data Verification,,,,2019-06-18 14:45:16,2019-06-18 15:09:40,24m - 23.862s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-06-18 14:45:17,2019-06-18 14:45:39,22.107s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_170419_local_v154 (2).apk"", false)",,launch application,,2019-06-18 14:45:18,2019-06-18 14:45:34,16.172s,PASSED
delay(5),,delay of 5 seconds,,2019-06-18 14:45:34,2019-06-18 14:45:39,5.068s,PASSED
,,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,,2019-06-18 14:45:39,2019-06-18 15:09:40,24m - 1.299s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-06-18 14:45:39,2019-06-18 14:45:43,3.968s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,,2019-06-18 14:45:43,2019-06-18 14:45:46,3.223s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-06-18 14:45:46,2019-06-18 14:45:48,1.409s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-06-18 14:45:48,2019-06-18 14:45:49,1.517s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-06-18 14:45:49,2019-06-18 15:09:40,23m - 50.873s,PASSED
