Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-12 16:50:08,2019-07-12 16:53:48,3m - 40.154s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-12 16:50:09,2019-07-12 16:50:35,26.401s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-12 16:50:09,2019-07-12 16:50:30,20.499s,PASSED
delay(5),,delay of 5 seconds,,2019-07-12 16:50:30,2019-07-12 16:50:35,5.068s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-12 16:50:35,2019-07-12 16:53:48,3m - 13.310s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-12 16:50:35,2019-07-12 16:50:40,4.510s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-12 16:50:40,2019-07-12 16:50:44,4.071s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-12 16:50:44,2019-07-12 16:50:45,1.103s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-12 16:50:45,2019-07-12 16:50:47,1.413s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-12 16:50:47,2019-07-12 16:53:48,3m - 1.826s,ERROR
