Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-09 14:36:28,2019-07-09 15:34:43,58m - 15.082s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-09 14:36:28,2019-07-09 14:36:53,24.784s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-09 14:36:29,2019-07-09 14:36:48,19.189s,PASSED
delay(5),,delay of 5 seconds,,2019-07-09 14:36:48,2019-07-09 14:36:53,5.042s,PASSED
,,,,,,,
Test Cases/SliderOptions/VisitSliderOptions,,,,2019-07-09 14:36:53,2019-07-09 14:58:25,21m - 31.816s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,,,2019-07-09 14:36:53,2019-07-09 14:37:00,6.486s,PASSED
"swipe(2, 250, 400, 250)",,,,2019-07-09 14:37:00,2019-07-09 14:37:00,0.638s,PASSED
"verifyElementExist(findTestObject(""SliderOptions/Validate_SliderItemsScreen"", [""package"":PACKAGENAME]), 0)",,,,2019-07-09 14:37:00,2019-07-09 14:37:03,2.473s,PASSED
qa.keywords.SliderOptionsKeywords.valideSliderOptions(),,,,2019-07-09 14:37:03,2019-07-09 14:37:19,15.859s,PASSED
"qa.keywords.SliderOptionsKeywords.findSliderOption(""Update Profile"")",,,,2019-07-09 14:37:19,2019-07-09 14:37:26,7.049s,PASSED
"qa.keywords.SliderOptionsKeywords.findSliderOption(""Out of Route"")",,,,2019-07-09 14:37:26,2019-07-09 14:57:59,20m - 33.010s,PASSED
"qa.keywords.SliderOptionsKeywords.findSliderOption(""Abnormal Shops"")",,,,2019-07-09 14:57:59,2019-07-09 14:57:59,0.003s,NOT_RUN
"qa.keywords.SliderOptionsKeywords.findSliderOption(""Info"")",,,,2019-07-09 14:57:59,2019-07-09 14:58:24,25.417s,PASSED
"qa.keywords.SliderOptionsKeywords.findSliderOption(""RedFlag Shops"")",,,,2019-07-09 14:58:24,2019-07-09 14:58:24,0.001s,NOT_RUN
"swipe(320, 5, 2, 5)",,,,2019-07-09 14:58:24,2019-07-09 14:58:25,0.430s,PASSED
qa.keywords.SliderOptionsKeywords.displayMissingSliderOptionsInReport(),,,,2019-07-09 14:58:25,2019-07-09 14:58:25,0.118s,PASSED
,,,,,,,
Test Cases/Attendence/VisitAttendance_ForMerchandising,,,,2019-07-09 14:58:25,2019-07-09 14:59:03,37.740s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate dashboard screen appearance,,2019-07-09 14:58:25,2019-07-09 14:58:26,0.861s,PASSED
qa.keywords.CommonKeywords.selectday(),,select the current day for further proceed,,2019-07-09 14:58:26,2019-07-09 14:58:29,2.841s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button,,2019-07-09 14:58:29,2019-07-09 14:58:30,1.604s,PASSED
"verifyElementText(findTestObject(""Attendence/Validate_AttendenceScreen"", [""package"":PACKAGENAME]), ""Attendance"")",,,,2019-07-09 14:58:30,2019-07-09 14:58:32,1.492s,PASSED
"tap(findTestObject(""Attendence/TakeSelfie_ImageViewButton"", [""package"":PACKAGENAME]), 0)",,,,2019-07-09 14:58:32,2019-07-09 14:58:34,2.221s,PASSED
qa.keywords.CommonKeywords.takePicture(),,,,2019-07-09 14:58:34,2019-07-09 14:58:42,8.202s,PASSED
qa.keywords.AttendenceKeywords.visitAttendenceRemark(),,,,2019-07-09 14:58:42,2019-07-09 14:58:43,1.060s,PASSED
"tap(findTestObject(""Attendence/Attendence_SubmitButton"", [""package"":PACKAGENAME]), 0)",,,,2019-07-09 14:58:43,2019-07-09 14:58:45,1.324s,PASSED
"delay(15, STOP_ON_FAILURE)",,,,2019-07-09 14:58:45,2019-07-09 14:59:00,15.002s,PASSED
"verifyElementExist(findTestObject(""CommonScreenElements/Validate_MapScreen"", [""package"":PACKAGENAME]), 0)",,validate map screen appearance,,2019-07-09 14:59:00,2019-07-09 14:59:00,0.662s,PASSED
"tap(findTestObject(""CommonScreenElements/Location_CheckIn"", [""package"":PACKAGENAME]), 0)",,tap on check in button through map,,2019-07-09 14:59:00,2019-07-09 14:59:01,0.534s,PASSED
"verifyElementExist(findTestObject(""CommonScreenElements/Validate_InfoPopUP"", [""package"":PACKAGENAME]), 0)",,validate confirm popup appearance,,2019-07-09 14:59:01,2019-07-09 14:59:02,0.678s,PASSED
"tap(findTestObject(""CommonScreenElements/InfoPopUp_YesButton"", [""package"":PACKAGENAME]), 0)",,tap on confirm popup no button,,2019-07-09 14:59:02,2019-07-09 14:59:03,1.061s,PASSED
,,,,,,,
Test Cases/DistributionPoint/VisitDistributionPoint,,,,2019-07-09 14:59:03,2019-07-09 14:59:19,16.292s,PASSED
"verifyElementText(findTestObject(""DistributionPoint/Validate_RouteInfoScreen"", [""package"":PACKAGENAME]), ""Route Info"")",,validate channel summary detail screen appearance,,2019-07-09 14:59:03,2019-07-09 14:59:03,0.341s,PASSED
"tap(findTestObject(""DistributionPoint/RouteInfoNextButton"", [""package"":PACKAGENAME]), 0)",,tap on next button to further proceed,,2019-07-09 14:59:03,2019-07-09 14:59:04,1.129s,PASSED
"verifyElementText(findTestObject(""DistributionPoint/Validate_DistributionPointScreen"", [""package"":PACKAGENAME]), ""Poster Quantity:"")",,validate distribution point screen appearance,,2019-07-09 14:59:04,2019-07-09 14:59:06,1.555s,PASSED
qa.keywords.DistributionPointKeywords.visitdistributionPoint(),,enter quantity of products on distribution point,,2019-07-09 14:59:06,2019-07-09 14:59:16,10.511s,PASSED
"tap(findTestObject(""DistributionPoint/DistributionPoint_SubmitButton"", [""package"":PACKAGENAME]), 0)",,tap on submit button after enter the quantity of products on distribution point,,2019-07-09 14:59:16,2019-07-09 14:59:17,0.997s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate dashboard screen appearance,,2019-07-09 14:59:17,2019-07-09 14:59:19,1.523s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-09 14:59:19,2019-07-09 15:34:43,35m - 24.009s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-09 14:59:19,2019-07-09 14:59:19,0.204s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-09 14:59:19,2019-07-09 14:59:22,3.259s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-09 14:59:22,2019-07-09 14:59:23,0.808s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-09 14:59:23,2019-07-09 14:59:25,1.684s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-09 14:59:25,2019-07-09 15:34:43,35m - 17.903s,PASSED
