Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Category Level(Chiller Utilization) Overwrite Scenarios,,,2018-08-10 16:35:34,2018-08-10 16:55:16,19m - 41.390s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-08-10 16:35:35,2018-08-10 16:35:57,22.236s,PASSED
startApplication,,launch application,2018-08-10 16:35:36,2018-08-10 16:35:52,16.614s,PASSED
delay,,delay of 5 seconds,2018-08-10 16:35:52,2018-08-10 16:35:57,5.064s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevel(Chiller Utilization)Overwriting,,,2018-08-10 16:35:57,2018-08-10 16:55:16,19m - 18.533s,ERROR
verifyElementText,,validate the dashboard screen appearance,2018-08-10 16:35:57,2018-08-10 16:35:58,0.614s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-08-10 16:35:58,2018-08-10 16:36:03,4.621s,PASSED
tap,,tap on start your day button to further proceed,2018-08-10 16:36:03,2018-08-10 16:36:03,0.670s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-08-10 16:36:03,2018-08-10 16:36:06,2.548s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWithCategoryLevel_ChillerUtilization_Overwriting,,"select shops from shops list with ""Shop Level"" overwriting ",2018-08-10 16:36:06,2018-08-10 16:55:16,19m - 9.918s,ERROR
