Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-15 17:13:30,2019-07-15 17:20:33,7m - 2.687s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-15 17:13:31,2019-07-15 17:13:55,24.579s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-15 17:13:32,2019-07-15 17:13:50,18.124s,PASSED
delay(5),,delay of 5 seconds,,2019-07-15 17:13:50,2019-07-15 17:13:55,5.070s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-15 17:13:55,2019-07-15 17:20:33,6m - 37.458s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-15 17:13:56,2019-07-15 17:14:05,9.678s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-15 17:14:05,2019-07-15 17:14:08,2.584s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-15 17:14:08,2019-07-15 17:14:09,1.064s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-15 17:14:09,2019-07-15 17:14:11,2.414s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-15 17:14:11,2019-07-15 17:20:33,6m - 21.427s,ERROR
