Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising Data Verification,,,2019-04-19 15:42:23,2019-04-19 15:42:35,11.772s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-19 15:42:24,2019-04-19 15:42:33,9.475s,FAILED
"startApplication(""F:\QA_Automation\Builds\mmaplus_170419_local_v154 (2).apk"", false)",,launch application,2019-04-19 15:42:26,2019-04-19 15:42:33,7.671s,FAILED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-04-19 15:42:33,2019-04-19 15:42:35,1.242s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-19 15:42:34,2019-04-19 15:42:35,0.196s,FAILED
