Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Category Level Overwrite Scenarios,,,2019-04-05 17:03:39,2019-04-05 17:12:54,9m - 15.104s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-05 17:03:39,2019-04-05 17:04:03,23.611s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_030419_local_v154.apk"", false)",,launch application,2019-04-05 17:03:40,2019-04-05 17:03:58,17.721s,PASSED
delay(5),,delay of 5 seconds,2019-04-05 17:03:58,2019-04-05 17:04:03,5.040s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevelOverwriteScenarios,,,2019-04-05 17:04:03,2019-04-05 17:12:54,8m - 51.033s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-05 17:04:03,2019-04-05 17:04:07,3.716s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-05 17:04:07,2019-04-05 17:04:11,3.539s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-04-05 17:04:11,2019-04-05 17:04:12,1.043s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-04-05 17:04:12,2019-04-05 17:04:13,1.462s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_CategoryLevel_OverwriteScenarios(),,"select shops from shops list with ""Shop Level"" overwriting ",2019-04-05 17:04:13,2019-04-05 17:12:54,8m - 40.975s,FAILED
