Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-12 18:11:45,2019-07-12 18:15:03,3m - 17.296s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-12 18:11:46,2019-07-12 18:12:11,25.067s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-12 18:11:47,2019-07-12 18:12:06,19.036s,PASSED
delay(5),,delay of 5 seconds,,2019-07-12 18:12:06,2019-07-12 18:12:11,5.051s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-12 18:12:11,2019-07-12 18:15:03,2m - 51.781s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-12 18:12:11,2019-07-12 18:12:16,4.260s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-12 18:12:16,2019-07-12 18:12:20,4.230s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-12 18:12:20,2019-07-12 18:12:21,1.348s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-12 18:12:21,2019-07-12 18:12:23,2.345s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-12 18:12:23,2019-07-12 18:15:03,2m - 39.233s,ERROR
