Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-12 12:31:21,2019-07-12 12:33:29,2m - 7.628s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-12 12:31:22,2019-07-12 12:31:47,25.894s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-12 12:31:23,2019-07-12 12:31:42,19.796s,PASSED
delay(5),,delay of 5 seconds,,2019-07-12 12:31:42,2019-07-12 12:31:47,5.068s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-12 12:31:47,2019-07-12 12:33:29,1m - 41.204s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-12 12:31:48,2019-07-12 12:31:53,4.798s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-12 12:31:53,2019-07-12 12:31:57,4.414s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-12 12:31:57,2019-07-12 12:31:58,1.065s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-12 12:31:58,2019-07-12 12:32:01,2.314s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-12 12:32:01,2019-07-12 12:33:29,1m - 28.175s,ERROR
