Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising,,,2018-07-17 12:15:59,2018-07-17 12:17:29,1m - 29.792s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-07-17 12:16:00,2018-07-17 12:16:25,25.294s,PASSED
startApplication,,launch application,2018-07-17 12:16:01,2018-07-17 12:16:20,19.528s,PASSED
delay,,delay of 5 seconds after starting application,2018-07-17 12:16:20,2018-07-17 12:16:25,5.060s,PASSED
,,,,,,
Test Cases/Shop/VisitShop,,,2018-07-17 12:16:25,2018-07-17 12:17:29,1m - 3.506s,FAILED
verifyElementText,,validate the dashboard screen appearance,2018-07-17 12:16:26,2018-07-17 12:16:26,0.425s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,,2018-07-17 12:16:26,2018-07-17 12:16:29,2.650s,PASSED
tap,,tap on start your day button to further proceed,2018-07-17 12:16:29,2018-07-17 12:16:29,0.396s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-07-17 12:16:29,2018-07-17 12:16:31,1.934s,PASSED
com.ct.qa.keywords.VisitingScenariosKeywords.visitShop,,select shops from shops list,2018-07-17 12:16:31,2018-07-17 12:17:29,57.779s,FAILED
