Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-12 18:35:07,2019-07-12 18:37:48,2m - 41.098s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-12 18:35:07,2019-07-12 18:35:33,25.910s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-12 18:35:08,2019-07-12 18:35:28,19.853s,PASSED
delay(5),,delay of 5 seconds,,2019-07-12 18:35:28,2019-07-12 18:35:33,5.046s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-12 18:35:33,2019-07-12 18:37:48,2m - 14.543s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-12 18:35:34,2019-07-12 18:35:38,4.715s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-12 18:35:38,2019-07-12 18:35:42,3.627s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-12 18:35:42,2019-07-12 18:35:43,1.038s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-12 18:35:43,2019-07-12 18:35:45,2.362s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-12 18:35:45,2019-07-12 18:37:48,2m - 2.468s,ERROR
