Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising Data Verification,,,2019-04-19 14:22:13,2019-04-19 14:23:10,57.509s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-19 14:22:14,2019-04-19 14:22:41,27.564s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_170419_local_v154 (2).apk"", false)",,launch application,2019-04-19 14:22:16,2019-04-19 14:22:36,19.595s,PASSED
delay(5),,delay of 5 seconds,2019-04-19 14:22:36,2019-04-19 14:22:41,5.670s,PASSED
,,,,,,
Test Cases/Attendence/VisitAttendance,,,2019-04-19 14:22:41,2019-04-19 14:23:01,19.847s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate dashboard screen appearance,2019-04-19 14:22:42,2019-04-19 14:22:47,5.214s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select the current day for further proceed,2019-04-19 14:22:47,2019-04-19 14:22:51,4.465s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button,2019-04-19 14:22:51,2019-04-19 14:22:52,0.753s,PASSED
"verifyElementText(findTestObject(""Attendence/Validate_AttendenceScreen"", [""package"":PACKAGENAME]), ""Attendance"")",,,2019-04-19 14:22:52,2019-04-19 14:23:01,8.804s,FAILED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-04-19 14:23:01,2019-04-19 14:23:10,9.052s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-19 14:23:02,2019-04-19 14:23:10,8.470s,FAILED
