Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandiser With Chiller Level Overwrite Scenarios,,,2019-04-04 13:44:22,2019-04-04 13:46:25,2m - 2.940s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-04 13:44:23,2019-04-04 13:44:50,26.815s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_030419_local_v154.apk"", false)",,launch application,2019-04-04 13:44:24,2019-04-04 13:44:45,20.948s,PASSED
delay(5),,delay of 5 seconds,2019-04-04 13:44:45,2019-04-04 13:44:50,5.040s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChillerLevelOverwriteScenarios,,,2019-04-04 13:44:50,2019-04-04 13:46:25,1m - 35.635s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-04 13:44:50,2019-04-04 13:44:54,4.192s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-04 13:44:54,2019-04-04 13:44:58,3.661s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-04-04 13:44:58,2019-04-04 13:44:59,0.642s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-04-04 13:44:59,2019-04-04 13:45:01,2.608s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_ChillerLevel_OverwriteScenarios(),,,2019-04-04 13:45:01,2019-04-04 13:46:25,1m - 24.086s,FAILED
