Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandiser With Chiller Level Overwrite Scenarios,,,2019-04-11 13:11:48,2019-04-11 13:36:24,24m - 36.019s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-11 13:11:49,2019-04-11 13:12:14,24.717s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_030419_local_v154.apk"", false)",,launch application,2019-04-11 13:11:50,2019-04-11 13:12:08,18.713s,PASSED
delay(5),,delay of 5 seconds,2019-04-11 13:12:08,2019-04-11 13:12:14,5.102s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChillerLevelOverwriteScenarios,,,2019-04-11 13:12:14,2019-04-11 13:36:24,24m - 10.840s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-11 13:12:14,2019-04-11 13:12:18,3.764s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-04-11 13:12:18,2019-04-11 13:12:21,3.644s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-04-11 13:12:21,2019-04-11 13:12:22,1.023s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-04-11 13:12:22,2019-04-11 13:12:24,1.396s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_ChillerLevel_OverwriteScenarios(),,,2019-04-11 13:12:24,2019-04-11 13:36:24,24m - 0.576s,PASSED
