Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising,,,2018-07-24 17:28:34,2018-07-24 17:30:53,2m - 18.208s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-07-24 17:28:35,2018-07-24 17:29:00,24.838s,PASSED
startApplication,,launch application,2018-07-24 17:28:36,2018-07-24 17:28:55,19.159s,PASSED
delay,,delay of 5 seconds after starting application,2018-07-24 17:28:55,2018-07-24 17:29:00,5.062s,PASSED
,,,,,,
Test Cases/Shop/VisitShop,,,2018-07-24 17:29:00,2018-07-24 17:30:53,1m - 52.797s,ERROR
verifyElementText,,validate the dashboard screen appearance,2018-07-24 17:29:00,2018-07-24 17:29:04,3.864s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,,2018-07-24 17:29:04,2018-07-24 17:29:06,2.305s,PASSED
tap,,tap on start your day button to further proceed,2018-07-24 17:29:06,2018-07-24 17:29:08,1.316s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-07-24 17:29:08,2018-07-24 17:29:09,1.448s,PASSED
com.ct.qa.keywords.VisitingScenariosKeywords.visitShop,,select shops from shops list,2018-07-24 17:29:09,2018-07-24 17:30:53,1m - 43.562s,ERROR
