Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Merchandising Data Verification,,,2018-12-17 16:05:05,2018-12-17 16:08:02,2m - 56.673s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-12-17 16:05:06,2018-12-17 16:05:30,24.041s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_061218_local_v151.apk"", false)",,launch application,2018-12-17 16:05:06,2018-12-17 16:05:25,18.240s,PASSED
delay(5),,delay of 5 seconds,2018-12-17 16:05:25,2018-12-17 16:05:30,5.078s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-12-17 16:05:30,2018-12-17 16:08:02,2m - 32.205s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2018-12-17 16:05:30,2018-12-17 16:05:34,3.856s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2018-12-17 16:05:34,2018-12-17 16:05:37,3.299s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2018-12-17 16:05:37,2018-12-17 16:05:38,1.061s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2018-12-17 16:05:38,2018-12-17 16:05:40,1.734s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2018-12-17 16:05:40,2018-12-17 16:08:02,2m - 21.897s,ERROR
