Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Category Level(Chiller Utilization) Overwrite Scenarios,,,2018-09-05 18:06:43,2018-09-05 18:35:22,28m - 38.439s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-09-05 18:06:44,2018-09-05 18:07:08,24.395s,PASSED
startApplication,,launch application,2018-09-05 18:06:45,2018-09-05 18:07:03,18.605s,PASSED
delay,,delay of 5 seconds,2018-09-05 18:07:03,2018-09-05 18:07:08,5.078s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevel(Chiller Utilization)Overwriting,,,2018-09-05 18:07:08,2018-09-05 18:35:22,28m - 13.340s,PASSED
verifyElementText,,validate the dashboard screen appearance,2018-09-05 18:07:09,2018-09-05 18:07:18,8.926s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-09-05 18:07:18,2018-09-05 18:07:22,4.596s,PASSED
tap,,tap on start your day button to further proceed,2018-09-05 18:07:22,2018-09-05 18:07:23,1.068s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-09-05 18:07:23,2018-09-05 18:07:25,1.529s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWithCategoryLevel_ChillerUtilization_Overwriting,,"select shops from shops list with ""Shop Level"" overwriting ",2018-09-05 18:07:25,2018-09-05 18:35:22,27m - 56.997s,PASSED
