Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Category Level Overwrite Scenarios,,,2019-04-04 16:20:07,2019-04-04 16:20:17,10.017s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-04-04 16:20:07,2019-04-04 16:20:16,8.508s,FAILED
"startApplication(""F:\QA_Automation\Builds\mmaplus_030419_local_v154.apk"", false)",,launch application,2019-04-04 16:20:09,2019-04-04 16:20:16,6.737s,FAILED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevelOverwriteScenarios,,,2019-04-04 16:20:16,2019-04-04 16:20:17,0.967s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-04-04 16:20:17,2019-04-04 16:20:17,0.080s,FAILED
