Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Merchandising With Category Level Overwrite Scenarios,,,2018-12-12 18:26:53,2018-12-12 18:52:01,25m - 7.444s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-12-12 18:26:54,2018-12-12 18:27:18,24.155s,PASSED
"startApplication(""F:\QA_Automation\Builds\mmaplus_061218_local_v151.apk"", false)",,launch application,2018-12-12 18:26:55,2018-12-12 18:27:13,18.289s,PASSED
delay(5),,delay of 5 seconds,2018-12-12 18:27:13,2018-12-12 18:27:18,5.061s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithCategoryLevelOverwriting,,,2018-12-12 18:27:18,2018-12-12 18:52:01,24m - 42.793s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2018-12-12 18:27:18,2018-12-12 18:27:26,7.549s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2018-12-12 18:27:26,2018-12-12 18:27:29,3.044s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2018-12-12 18:27:29,2018-12-12 18:27:30,1.030s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2018-12-12 18:27:30,2018-12-12 18:27:32,1.666s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopsWith_CategoryLevel_Overwriting(),,"select shops from shops list with ""Shop Level"" overwriting ",2018-12-12 18:27:32,2018-12-12 18:52:01,24m - 29.136s,ERROR
