Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MMA Plus Merchandising With Data Verification,,,,2019-07-12 16:54:48,2019-07-12 16:58:43,3m - 55.590s,INCOMPLETE
,,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,,2019-07-12 16:54:48,2019-07-12 16:55:15,26.410s,PASSED
"startApplication(""F:\QA_Automation\Builds\MMA Plus\mmaplus_expired_product_module_080719_local.apk"", false)",,launch application,,2019-07-12 16:54:49,2019-07-12 16:55:10,20.044s,PASSED
delay(5),,delay of 5 seconds,,2019-07-12 16:55:10,2019-07-12 16:55:15,5.058s,PASSED
,,,,,,,
Test Cases/MerchandisingShopScenarios/VisitShopsWithDataVerification,,,,2019-07-12 16:55:15,2019-07-12 16:58:43,3m - 28.659s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,,2019-07-12 16:55:15,2019-07-12 16:55:22,6.438s,PASSED
qa.keywords.CommonKeywords.selectday(),,select current day,,2019-07-12 16:55:22,2019-07-12 16:55:26,4.185s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,,2019-07-12 16:55:26,2019-07-12 16:55:27,1.265s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,,2019-07-12 16:55:27,2019-07-12 16:55:30,2.406s,PASSED
qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,,2019-07-12 16:55:30,2019-07-12 16:58:43,3m - 13.772s,FAILED
