Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Channel Wise Data Verification,,,2018-08-16 15:31:36,2018-08-16 15:40:57,9m - 20.370s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-08-16 15:31:37,2018-08-16 15:31:59,22.561s,PASSED
startApplication,,launch application,2018-08-16 15:31:38,2018-08-16 15:31:54,16.341s,PASSED
delay,,delay of 5 seconds,2018-08-16 15:31:54,2018-08-16 15:31:59,5.051s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-08-16 15:31:59,2018-08-16 15:40:57,8m - 57.319s,ERROR
verifyElementText,,validate the dashboard screen appearance,2018-08-16 15:32:00,2018-08-16 15:32:03,3.759s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,select current day,2018-08-16 15:32:03,2018-08-16 15:32:07,4.158s,PASSED
tap,,tap on start your day button to further proceed,2018-08-16 15:32:07,2018-08-16 15:32:09,1.502s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-08-16 15:32:09,2018-08-16 15:32:10,1.488s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWithDataVerification,,select shops from shops list for data verification,2018-08-16 15:32:10,2018-08-16 15:40:57,8m - 46.145s,ERROR
