Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Plus Merchandising With Chiller Utilization Data Verification,,,2018-07-30 12:55:25,2018-07-30 12:56:07,41.284s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-07-30 12:55:26,2018-07-30 12:55:50,23.801s,PASSED
startApplication,,launch application,2018-07-30 12:55:27,2018-07-30 12:55:45,17.631s,PASSED
delay,,delay of 5 seconds after starting application,2018-07-30 12:55:45,2018-07-30 12:55:50,5.050s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-07-30 12:55:50,2018-07-30 12:56:07,16.752s,ERROR
verifyElementText,,validate the dashboard screen appearance,2018-07-30 12:55:51,2018-07-30 12:55:52,1.071s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday,,,2018-07-30 12:55:52,2018-07-30 12:55:56,4.022s,PASSED
tap,,tap on start your day button to further proceed,2018-07-30 12:55:56,2018-07-30 12:55:57,1.276s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-07-30 12:55:57,2018-07-30 12:55:59,1.757s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWithDataVerification,,select shops from shops list,2018-07-30 12:55:59,2018-07-30 12:56:07,8.057s,ERROR
